code,country,gdp_per_capita,year,meningitis,alzheimer's_diesease,parkinson's_disease,nutritional_deficiency,malaria,drowning,interpersonal_violence,maternal_disorders,hiv/aids,drug_use_disorders,tuberculosis,cardiovascular_diseases,lower_respiratory_infections,neonatal_disorders,alcohol_use_disorders,self_harm,exposure_to_forces_of_nature,diarrheal_diseases,environmental_heat_and_cold_exposure,neoplasms,conflict_and_terrorism,diabetes_mellitus,chronic_kidney_disease,poisonings,protein_energy_malnutrition,terrorism,road_injuries,chronic_respiratory_diseases,chronic_liver_diseases,digestive_diseases,fire_heat_hot_substance,acute_hepatitis,Total_deaths,Female,Male,Female_pct,Male_pct,Age_0to15,Age_16to40,Age_41to65,Age_65to87
CPV,Cape Verde,4782,1994,35,56,9,50,0,18,51,16,77,0,106,610,231,176,2,40,0,272,1,285,0,33,46,2,44,,29,118,69,119,11,9,2515,180,304,37.19008264,62.80991736,14,17,44,73
CPV,Cape Verde,23816,1995,33,59,10,45,0,20,53,16,90,0,107,617,244,183,2,43,0,418,1,296,0,38,48,2,41,,31,108,72,122,12,10,2721,947,778,54.89855072,45.10144928,6,26,57,85
CPV,Cape Verde,31753,1996,33,62,10,44,0,23,56,16,104,0,107,637,263,196,2,46,0,187,1,318,0,46,51,2,41,,33,99,77,126,13,12,2605,868,444,66.15853659,33.84146341,7,34,49,80
CPV,Cape Verde,24617,1997,32,65,11,38,0,27,59,16,116,0,105,659,277,206,2,50,0,163,2,349,0,54,55,3,36,,35,93,81,131,14,14,2693,291,189,60.625,39.375,5,29,65,69
CPV,Cape Verde,39894,1998,30,67,11,36,0,32,60,16,127,0,102,654,277,208,2,52,0,146,2,364,0,60,56,3,35,,36,86,82,131,15,14,2704,378,597,38.76923077,61.23076923,15,33,64,72
CPV,Cape Verde,14800,1999,30,69,12,31,0,38,61,15,137,0,100,658,279,218,2,54,0,135,2,376,0,63,57,3,30,,37,83,83,132,15,14,2734,962,871,52.4822695,47.5177305,12,17,57,74
CPV,Cape Verde,30393,2000,28,70,12,28,1,41,62,15,145,0,96,662,269,215,2,56,0,124,2,383,0,64,58,3,27,,36,82,83,131,15,13,2723,112,261,30.02680965,69.97319035,13,25,58,80
CPV,Cape Verde,13387,2001,27,71,12,26,1,40,65,15,151,1,92,668,263,214,2,57,0,115,2,392,0,67,59,3,25,,38,82,83,132,15,11,2729,222,440,33.5347432,66.4652568,12,27,50,65
CPV,Cape Verde,35004,2002,27,72,12,24,0,40,67,14,155,1,89,677,258,214,2,60,0,107,2,400,0,69,61,3,23,,38,82,83,132,15,9,2736,430,245,63.7037037,36.2962963,13,26,60,66
CPV,Cape Verde,4885,2003,28,73,13,22,0,39,70,14,159,1,87,683,252,211,2,62,0,99,2,408,0,71,62,3,21,,39,83,83,132,14,7,2740,915,325,73.79032258,26.20967742,2,20,58,65
CPV,Cape Verde,1615,2004,25,74,13,20,0,38,72,14,159,1,85,692,246,207,3,64,0,91,2,417,0,73,64,3,19,,39,83,83,132,14,6,2739,105,563,15.71856287,84.28143713,6,40,60,73
CPV,Cape Verde,12299,2005,24,75,13,18,0,37,74,13,148,1,82,701,241,203,3,67,0,84,2,426,0,76,65,3,17,,39,83,83,133,14,5,2730,630,215,74.55621302,25.44378698,3,21,43,73
CPV,Cape Verde,13964,2006,23,76,13,17,0,37,74,13,130,1,79,668,226,199,3,66,0,77,2,407,0,74,62,3,16,,38,78,80,128,14,5,2609,162,265,37.93911007,62.06088993,6,29,64,76
CPV,Cape Verde,44348,2007,22,77,13,15,0,36,74,13,118,1,75,663,218,192,3,67,0,70,2,408,0,75,62,3,14,,38,77,80,128,14,5,2563,873,880,49.80034227,50.19965773,13,25,57,84
CPV,Cape Verde,2901,2008,22,79,13,14,0,35,79,13,109,1,72,673,214,183,3,68,0,65,2,419,0,78,63,3,13,,38,77,81,129,13,4,2563,826,117,87.59278897,12.40721103,1,28,59,73
CPV,Cape Verde,32171,2009,21,80,14,13,0,34,83,13,108,1,70,685,212,174,3,70,3,60,2,431,0,80,64,3,12,,39,78,83,131,13,4,2584,209,758,21.61323681,78.38676319,5,21,53,82
CPV,Cape Verde,47156,2010,17,82,15,12,0,35,89,12,107,1,68,695,212,165,3,73,0,57,2,443,0,83,66,3,11,,40,79,84,133,14,4,2605,310,808,27.72808587,72.27191413,15,34,58,80
CPV,Cape Verde,12460,2011,17,85,16,11,0,34,92,12,100,1,67,729,216,152,3,74,0,54,2,461,0,87,68,3,11,,40,81,86,136,14,4,2656,778,475,62.09098164,37.90901836,13,37,45,80
CPV,Cape Verde,27961,2012,17,87,16,12,0,35,93,11,93,1,66,749,220,149,3,76,0,52,2,481,0,92,72,3,11,,40,81,87,137,14,4,2704,515,526,49.47166186,50.52833814,3,21,48,86
CPV,Cape Verde,32999,2013,17,89,17,12,0,35,93,11,83,1,65,762,222,140,3,77,0,51,2,493,0,94,73,3,11,,41,82,89,139,14,4,2723,987,108,90.1369863,9.863013699,3,25,65,86
CPV,Cape Verde,17158,2014,17,92,18,12,0,36,93,10,75,1,65,791,229,132,4,79,0,50,2,510,0,98,76,3,11,,42,84,91,142,14,4,2781,507,643,44.08695652,55.91304348,15,23,58,65
CPV,Cape Verde,8003,2015,17,94,19,12,0,35,92,9,71,1,64,832,235,124,4,80,9,48,2,530,0,104,79,3,11,,43,86,93,146,15,4,2862,775,928,45.50792719,54.49207281,3,25,58,75
CPV,Cape Verde,25059,2016,17,97,21,12,0,35,91,7,68,1,65,894,248,116,4,82,0,48,2,561,0,113,84,3,11,,44,91,97,151,15,4,2982,831,922,47.40444952,52.59555048,13,32,65,70
CPV,Cape Verde,39381,2017,17,99,21,12,1,35,89,7,63,1,64,917,253,107,4,84,0,47,2,585,0,116,87,3,11,,45,93,100,156,15,4,3038,295,752,28.17574021,71.82425979,15,22,58,81
CPV,Cape Verde,27049,2018,18,100,26,13,2,35,82,7,58,1,62,1084,299,99,5,83,0,50,2,713,0,133,105,3,12,,46,109,113,175,16,4,3455,947,132,87.76645042,12.23354958,1,26,45,73
CPV,Cape Verde,35149,2019,18,99,25,12,9,34,81,6,55,1,60,1073,294,92,5,82,0,47,2,717,0,134,105,3,11,,47,107,114,175,16,4,3428,831,625,57.07417582,42.92582418,8,38,56,85
CAF,Central African Republic,4819,1990,946,89,31,917,2160,254,196,662,2027,5,5496,4424,4986,3987,37,380,0,7257,32,1656,0,564,362,107,878,,1438,1074,741,1407,121,131,42365,222,223,49.88764045,50.11235955,7,26,61,74
CAF,Central African Republic,3376,1991,941,90,32,923,2307,259,205,668,3433,6,5643,4491,5049,4071,38,395,0,7291,33,1702,3,579,373,110,884,3,1497,1095,759,1444,124,132,44580,856,643,57.10473649,42.89526351,7,39,48,71
CAF,Central African Republic,35026,1992,947,90,32,928,2435,260,207,649,5030,6,5749,4477,5159,4157,38,398,0,7370,33,1706,4,582,377,110,891,1,1513,1096,759,1451,125,131,46711,580,622,48.25291181,51.74708819,15,19,64,83
CAF,Central African Republic,13490,1993,939,91,33,949,2606,265,217,699,6693,6,6018,4570,5332,4244,39,412,0,7520,35,1753,4,597,390,113,910,,1585,1122,772,1482,128,132,49656,287,874,24.72006891,75.27993109,5,17,53,66
CAF,Central African Republic,37676,1994,842,91,34,967,2776,270,220,719,8276,6,6206,4646,5461,4319,40,422,0,7594,35,1789,2,612,400,115,929,2,1636,1142,784,1507,130,133,52105,172,845,16.91248771,83.08751229,0,26,44,82
CAF,Central African Republic,44748,1995,851,92,34,990,2972,272,220,723,9662,7,6315,4710,5560,4411,41,426,0,7591,36,1816,0,626,407,117,952,,1676,1158,791,1524,132,133,54245,170,214,44.27083333,55.72916667,11,35,52,67
CAF,Central African Republic,19666,1996,905,94,35,1033,3266,281,229,775,10815,7,6575,4846,5713,4528,42,444,7,7574,37,1873,56,649,425,121,994,2,1798,1192,816,1574,137,139,56982,426,693,38.06970509,61.93029491,14,36,48,75
CAF,Central African Republic,10572,1997,898,96,36,1071,3516,284,230,782,11712,7,6684,4894,5808,4637,43,448,0,7602,37,1887,140,662,433,123,1032,,1868,1203,824,1590,139,142,58828,971,219,81.59663866,18.40336134,4,32,41,77
CAF,Central African Republic,20480,1998,979,99,37,1125,3793,291,240,825,12346,8,6898,4975,5927,4747,43,460,0,7532,38,1922,6,680,447,126,1085,,2004,1222,844,1629,142,146,60616,884,973,47.60366182,52.39633818,13,27,52,79
CAF,Central African Republic,18306,1999,1186,101,37,1196,4135,297,246,864,12746,8,7114,5051,6065,4857,44,470,0,7523,39,1957,7,702,463,130,1155,,2165,1241,863,1667,146,151,62626,955,194,83.11575283,16.88424717,11,30,41,79
CAF,Central African Republic,15983,2000,1005,103,38,1246,4434,295,244,859,12950,8,7197,5066,6091,4963,44,467,0,7445,39,1958,9,715,470,130,1206,1,2234,1242,866,1675,147,152,63299,628,179,77.81908302,22.18091698,7,25,42,67
CAF,Central African Republic,16487,2001,1332,106,38,1293,4684,299,249,873,12991,8,7346,5110,6104,5072,45,472,3,7424,39,1980,265,732,481,132,1253,7,2310,1252,874,1694,148,155,64771,278,963,22.40128928,77.59871072,11,31,42,84
CAF,Central African Republic,33573,2002,1116,109,39,1347,5037,302,258,907,12945,8,7532,5182,6119,5186,46,483,0,7401,40,2017,296,752,494,134,1307,,2408,1271,889,1723,152,158,65658,607,393,60.7,39.3,7,36,44,85
CAF,Central African Republic,17550,2003,1076,111,40,1398,5471,305,263,924,12836,9,7640,5243,6112,5316,46,489,0,7337,40,2044,34,769,504,136,1358,,2474,1286,898,1743,153,159,66214,422,234,64.32926829,35.67073171,10,22,48,87
CAF,Central African Republic,11920,2004,1070,114,41,1440,5856,307,268,936,12618,9,7718,5314,6125,5442,47,495,3,7297,41,2072,75,785,513,138,1401,,2527,1301,906,1760,155,158,66932,367,976,27.32688012,72.67311988,3,16,43,77
CAF,Central African Republic,42545,2005,1113,116,41,1471,6054,311,273,948,12237,9,7852,5382,6175,5545,48,502,1,7259,41,2098,8,799,520,140,1431,,2582,1316,916,1780,157,158,67283,884,913,49.19309961,50.80690039,15,21,51,87
CAF,Central African Republic,8267,2006,1183,119,42,1550,6361,331,282,960,11722,9,8103,5467,6392,5621,49,512,0,7554,42,2139,222,815,533,146,1510,4,2704,1340,926,1813,164,153,68768,572,337,62.92629263,37.07370737,13,32,56,80
CAF,Central African Republic,44474,2007,1320,122,43,1577,6427,339,289,950,11057,10,8164,5542,6462,5707,50,517,1,7632,42,2166,271,827,539,148,1538,1,2754,1351,929,1830,167,139,68911,772,967,44.3933295,55.6066705,10,31,59,74
CAF,Central African Republic,42280,2008,1199,125,43,1584,6204,340,286,923,10093,10,8153,5619,6475,5807,50,517,0,7718,42,2180,123,836,543,149,1546,1,2764,1357,926,1838,168,123,67742,714,277,72.04843592,27.95156408,6,19,52,73
CAF,Central African Republic,25667,2009,1179,128,44,1601,5933,347,297,928,9460,10,8273,5758,6545,5904,51,531,4,7866,43,2229,322,856,557,152,1563,38,2839,1379,938,1873,172,116,67936,979,381,71.98529412,28.01470588,1,40,52,71
CAF,Central African Republic,20429,2010,1269,132,45,1612,5689,355,317,970,9369,11,8445,5976,6593,5993,53,556,3,8000,45,2310,308,886,579,156,1574,46,2973,1415,968,1937,176,116,68877,286,467,37.9814077,62.0185923,14,22,65,87
CAF,Central African Republic,30656,2011,1135,135,46,1584,5381,349,389,986,9392,11,8480,6146,6478,6000,55,573,1,8102,45,2373,171,908,593,157,1545,35,3029,1437,991,1983,177,118,68805,256,508,33.5078534,66.4921466,3,37,58,66
CAF,Central African Republic,37087,2012,1064,138,47,1548,5161,343,319,941,9345,12,8365,6252,6324,5853,56,571,0,8075,44,2402,185,918,595,156,1510,14,2985,1442,998,1995,175,117,67950,705,772,47.73188896,52.26811104,10,16,44,66
CAF,Central African Republic,48897,2013,1104,140,48,1527,5009,340,697,941,9151,12,8507,6402,6311,5685,57,580,0,8153,45,2442,4169,935,605,157,1489,120,3001,1467,1013,2028,175,119,72429,861,488,63.8250556,36.1749444,12,27,57,82
CAF,Central African Republic,39170,2014,1083,142,48,1476,4829,331,1405,909,8517,12,8548,6506,6207,5583,57,579,0,8278,44,2458,4526,944,609,155,1438,751,2957,1479,1018,2042,172,119,73222,933,229,80.29259897,19.70740103,6,19,48,76
CAF,Central African Republic,1159,2015,977,145,49,1416,4704,321,602,889,7578,12,8584,6673,6068,5551,58,584,1,8469,45,2478,701,953,614,154,1379,171,2949,1492,1027,2064,170,119,66997,262,930,21.97986577,78.02013423,15,22,63,73
CAF,Central African Republic,40999,2016,958,148,49,1360,4479,313,550,872,6764,13,8614,6796,5952,5498,59,595,0,8684,45,2513,761,966,622,154,1325,189,2964,1509,1048,2105,169,121,66195,118,735,13.83352872,86.16647128,8,39,61,83
CAF,Central African Republic,7537,2017,974,151,50,1334,4385,312,1428,855,6194,13,8661,6931,5908,5430,60,605,0,8790,45,2554,1230,981,631,155,1298,601,3004,1530,1069,2140,169,123,67611,534,202,72.55434783,27.44565217,3,38,61,71
CAF,Central African Republic,28462,2018,916,156,51,1289,4394,305,668,847,5804,13,8648,7069,5779,5411,61,613,0,8549,46,2605,570,1002,642,155,1254,,3026,1554,1086,2171,168,123,64975,414,178,69.93243243,30.06756757,3,37,65,83
CAF,Central African Republic,27632,2019,902,160,52,1247,4248,297,374,845,5547,14,8637,7210,5677,5349,63,620,0,8431,46,2657,340,1021,653,155,1211,,3045,1579,1105,2202,167,123,63977,227,782,22.4975223,77.5024777,4,29,55,78
,Central America & Caribbean,30473,1990,,,,,,,,,,,,,,,,,,,,,,,,,,406,,,,,,,406,777,864,47.34917733,52.65082267,4,33,65,75
,Central America & Caribbean,49266,1991,,,,,,,,,,,,,,,,,,,,,,,,,,714,,,,,,,714,913,698,56.67287399,43.32712601,3,23,61,85
,Central America & Caribbean,21229,1992,,,,,,,,,,,,,,,,,,,,,,,,,,112,,,,,,,112,764,516,59.6875,40.3125,1,19,59,67
,Central America & Caribbean,43196,1994,,,,,,,,,,,,,,,,,,,,,,,,,,184,,,,,,,184,400,161,71.30124777,28.69875223,6,37,59,71
,Central America & Caribbean,22165,1995,,,,,,,,,,,,,,,,,,,,,,,,,,81,,,,,,,81,481,592,44.82758621,55.17241379,13,40,48,75
,Central America & Caribbean,33931,1996,,,,,,,,,,,,,,,,,,,,,,,,,,88,,,,,,,88,294,730,28.7109375,71.2890625,8,28,42,70
,Central America & Caribbean,35449,1997,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,,,,73,608,620,49.51140065,50.48859935,14,40,42,68
,Central America & Caribbean,3526,1998,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,234,781,23.05418719,76.94581281,3,29,64,65
,Central America & Caribbean,24252,1999,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,6,356,113,75.90618337,24.09381663,4,34,51,71
,Central America & Caribbean,27982,2000,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,11,701,917,43.32509271,56.67490729,12,18,58,66
,Central America & Caribbean,22389,2001,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,965,597,61.77976953,38.22023047,3,34,58,78
,Central America & Caribbean,12919,2002,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,849,163,83.89328063,16.10671937,1,23,54,76
,Central America & Caribbean,41351,2003,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,5,982,205,82.72957035,17.27042965,14,21,46,69
,Central America & Caribbean,41501,2004,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,38,841,272,75.56154537,24.43845463,5,38,60,70
,Central America & Caribbean,7217,2005,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,574,683,45.66428003,54.33571997,11,26,56,87
,Central America & Caribbean,24728,2006,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,7,400,319,55.63282337,44.36717663,12,24,46,83
,Central America & Caribbean,13941,2007,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,975,574,62.94383473,37.05616527,12,17,64,76
,Central America & Caribbean,8893,2008,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,814,933,46.59416142,53.40583858,3,22,65,69
,Central America & Caribbean,2720,2009,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,3,557,357,60.94091904,39.05908096,3,35,46,71
,Central America & Caribbean,45415,2010,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,456,848,34.96932515,65.03067485,2,32,56,67
,Central America & Caribbean,15091,2011,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,730,563,56.45784996,43.54215004,2,33,41,65
,Central America & Caribbean,37390,2012,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,501,442,53.12831389,46.87168611,0,33,62,67
,Central America & Caribbean,1631,2013,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,9,711,297,70.53571429,29.46428571,10,37,54,68
,Central America & Caribbean,36543,2014,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,5,688,312,68.8,31.2,5,22,57,77
,Central America & Caribbean,39367,2015,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,531,831,38.98678414,61.01321586,14,23,43,87
,Central America & Caribbean,18594,2016,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,9,183,172,51.54929577,48.45070423,13,18,64,78
,Central America & Caribbean,42401,2017,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,4,138,152,47.5862069,52.4137931,3,33,55,66
,Central Asia,21619,1990,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,190,297,39.01437372,60.98562628,14,36,41,85
,Central Asia,24228,1991,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,28,608,967,38.6031746,61.3968254,2,35,51,87
,Central Asia,40514,1992,,,,,,,,,,,,,,,,,,,,,,,,,,320,,,,,,,320,201,757,20.98121086,79.01878914,2,33,60,73
,Central Asia,30947,1994,,,,,,,,,,,,,,,,,,,,,,,,,,122,,,,,,,122,337,943,26.328125,73.671875,12,17,65,80
,Central Asia,47728,1995,,,,,,,,,,,,,,,,,,,,,,,,,,94,,,,,,,94,751,693,52.00831025,47.99168975,9,33,52,67
,Central Asia,34234,1996,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,,56,619,536,53.59307359,46.40692641,7,34,56,86
,Central Asia,11139,1997,,,,,,,,,,,,,,,,,,,,,,,,,,81,,,,,,,81,346,276,55.62700965,44.37299035,9,39,53,79
,Central Asia,45914,1998,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,,,,61,827,853,49.22619048,50.77380952,10,40,65,86
,Central Asia,13898,1999,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,35,393,142,73.45794393,26.54205607,13,39,63,69
,Central Asia,46858,2000,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,18,853,428,66.58860265,33.41139735,15,21,65,73
,Central Asia,47746,2001,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,16,662,760,46.55414909,53.44585091,11,28,50,69
,Central Asia,11583,2002,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,3,680,526,56.38474295,43.61525705,8,34,60,70
,Central Asia,37715,2003,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,409,938,30.36377134,69.63622866,0,33,59,72
,Central Asia,34893,2004,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,36,643,510,55.76756288,44.23243712,5,27,65,73
,Central Asia,8499,2005,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,18,591,926,38.95847067,61.04152933,2,31,63,83
,Central Asia,34952,2006,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,6,914,577,61.30114017,38.69885983,9,16,49,67
,Central Asia,16387,2007,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,164,414,28.37370242,71.62629758,9,30,50,82
,Central Asia,16047,2008,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,20,275,349,44.07051282,55.92948718,15,37,46,85
,Central Asia,24116,2009,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,10,900,353,71.82761373,28.17238627,0,26,41,71
,Central Asia,36727,2010,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,8,250,885,22.02643172,77.97356828,0,19,46,85
,Central Asia,19801,2011,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,13,373,269,58.09968847,41.90031153,8,24,61,78
,Central Asia,42017,2012,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,6,476,753,38.73067535,61.26932465,4,25,49,79
,Central Asia,14776,2013,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,286,371,43.53120244,56.46879756,15,36,56,69
,Central Asia,41576,2014,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,5,827,305,73.0565371,26.9434629,1,30,55,86
,Central Asia,3176,2015,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,13,459,765,37.5,62.5,5,30,43,80
,Central Asia,12121,2016,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,21,550,117,82.45877061,17.54122939,6,20,54,66
,Central Asia,13802,2017,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,6,838,164,83.63273453,16.36726547,7,32,61,71
TCD,Chad,39894,2007,4355,520,153,3718,7343,562,870,2541,6037,8,7281,10543,18597,12866,64,759,29,29087,110,4284,378,1273,1361,303,3627,136,1992,2225,2146,3926,392,727,128213,431,501,46.24463519,53.75536481,3,25,41,75
TCD,Chad,11526,2008,4398,532,159,3573,7664,557,764,2615,5313,8,7243,10823,18664,13233,66,779,0,29380,112,4437,1057,1314,1398,309,3483,172,2040,2274,2196,4014,399,672,129648,834,831,50.09009009,49.90990991,9,29,58,84
TCD,Chad,27966,2009,4364,543,164,3447,7952,567,789,2649,4586,9,7189,11110,18735,13669,69,796,6,29744,114,4596,138,1355,1439,314,3359,0,2082,2324,2243,4098,407,619,129476,426,410,50.9569378,49.0430622,11,17,55,84
TCD,Chad,19003,2015,4451,628,189,2796,6416,602,992,3011,4788,12,7043,12638,19109,15805,80,879,0,30485,126,5530,543,1550,1646,340,2714,306,2357,2552,2616,4708,445,452,135809,597,880,40.4197698,59.5802302,12,37,50,75
TCD,Chad,34161,1990,2506,386,105,5725,5050,399,332,1357,725,5,4664,7363,12639,9556,40,356,0,17510,53,2622,688,667,918,170,5623,,1117,1886,1429,2632,235,316,87074,704,694,50.35765379,49.64234621,13,36,46,67
TCD,Chad,18049,1991,2536,396,108,5539,5159,404,333,1308,1045,5,4650,7407,12772,9680,40,356,39,18860,54,2645,135,685,924,173,5441,40,1115,1867,1434,2649,239,317,88355,753,842,47.21003135,52.78996865,14,18,44,82
TCD,Chad,26648,1992,2795,407,111,5488,5362,412,354,1355,1440,5,4780,7577,13081,9790,41,375,0,17834,57,2726,1360,716,952,181,5391,170,1163,1879,1479,2737,247,329,90594,535,553,49.17279412,50.82720588,12,32,50,75
TCD,Chad,37165,1993,2943,417,114,5484,5590,419,385,1442,1906,5,5003,7787,13504,9955,43,399,0,18184,61,2812,313,753,984,191,5388,,1223,1899,1527,2836,258,344,92169,848,939,47.45383324,52.54616676,7,28,61,76
TCD,Chad,1473,1994,2781,426,117,5421,5758,438,396,1458,2425,5,5151,7942,13902,10105,44,410,0,18515,64,2864,522,787,1000,198,5327,1,1250,1896,1556,2898,265,351,94273,907,257,77.9209622,22.0790378,0,38,43,72
TCD,Chad,9182,1995,2878,436,119,5464,5986,442,414,1540,2979,6,5284,8102,14321,10356,45,427,2,18790,67,2924,53,824,1018,206,5371,0,1291,1892,1590,2972,275,363,96437,134,366,26.8,73.2,15,36,60,80
TCD,Chad,11832,1996,3128,448,123,5530,6300,459,453,1693,3548,6,5594,8416,14907,10613,48,467,0,19317,73,3051,5,882,1060,219,5435,1,1384,1924,1663,3120,291,384,100542,417,950,30.50475494,69.49524506,2,20,43,80
TCD,Chad,10841,1997,3271,456,126,5508,6550,477,489,1824,4117,6,5906,8638,15485,10798,50,507,0,20271,78,3147,242,932,1091,231,5413,2,1457,1936,1714,3233,304,399,104658,879,282,75.71059432,24.28940568,10,34,47,73
TCD,Chad,13090,1998,4050,462,128,5495,6796,487,521,1943,4665,6,6229,8822,16092,10941,52,545,0,20681,84,3229,229,978,1115,242,5399,0,1525,1940,1751,3325,318,412,108462,497,581,46.1038961,53.8961039,13,39,50,79
TCD,Chad,24595,1999,3666,467,129,5456,6990,502,550,2045,5174,7,6544,9024,16640,11061,53,583,0,21306,89,3319,437,1023,1137,252,5359,77,1594,1953,1791,3417,331,428,111404,637,569,52.81923715,47.18076285,15,30,50,84
TCD,Chad,24446,2000,3721,473,132,5222,7098,510,646,2103,5642,7,6827,9185,17274,11162,54,609,0,22373,93,3394,1012,1053,1158,261,5125,,1647,1975,1818,3470,342,471,114857,144,304,32.14285714,67.85714286,6,23,63,74
TCD,Chad,2050,2001,4150,477,134,4799,6869,514,599,2144,6034,7,7024,9379,17659,11256,56,634,100,23919,96,3505,263,1085,1184,268,4704,,1696,2013,1865,3531,350,541,116855,791,237,76.94552529,23.05447471,13,23,61,79
TCD,Chad,33470,2002,3935,484,138,4561,6085,518,619,2220,6404,7,7198,9637,18088,11479,57,657,0,25099,98,3628,369,1123,1215,275,4465,21,1737,2061,1907,3586,358,607,118636,408,883,31.60340821,68.39659179,8,33,52,68
TCD,Chad,27367,2003,4065,489,141,4327,6115,523,654,2363,6685,7,7363,9895,18276,11775,59,690,0,26107,102,3770,37,1162,1253,282,4232,,1802,2110,1966,3668,365,668,120951,610,507,54.61056401,45.38943599,0,29,51,79
TCD,Chad,41659,2004,4068,496,145,4075,5876,515,667,2386,6819,7,7326,10053,18151,12005,60,706,0,26817,103,3888,176,1189,1273,282,3981,,1817,2134,2002,3708,365,704,121794,241,222,52.05183585,47.94816415,1,33,41,72
TCD,Chad,7997,2005,4059,503,147,3841,6131,514,689,2431,6799,7,7222,10116,17903,12220,61,719,0,26961,104,3986,417,1206,1288,281,3750,,1837,2140,2035,3742,365,729,122203,957,340,73.78565921,26.21434079,0,34,53,87
TCD,Chad,20904,2006,4228,513,150,3782,6754,525,922,2446,6455,8,7219,10295,18242,12496,62,733,52,28050,106,4116,2368,1235,1318,291,3691,103,1899,2175,2081,3815,376,744,127250,791,132,85.69880823,14.30119177,10,22,42,71
TCD,Chad,42574,2010,4419,554,169,3326,7754,578,826,2763,4461,9,7137,11362,18742,14022,71,823,24,30223,117,4766,37,1394,1482,320,3238,0,2149,2369,2311,4212,416,583,130657,351,765,31.4516129,68.5483871,0,22,63,73
TCD,Chad,2374,2011,4420,567,173,3188,7226,570,847,2828,4669,10,7097,11628,18685,14397,73,839,0,30284,118,4926,15,1434,1516,322,3102,,2179,2413,2374,4308,419,549,131176,686,889,43.55555556,56.44444444,15,23,58,84
TCD,Chad,24619,2012,4353,581,177,3056,6773,572,875,2895,4905,10,7055,11902,18644,14764,75,850,20,29664,119,5083,17,1468,1546,325,2972,,2213,2452,2442,4412,422,519,131161,980,375,72.32472325,27.67527675,5,27,56,66
TCD,Chad,44548,2013,4403,595,180,3003,6526,588,915,2939,5158,11,7066,12093,18941,15132,76,856,0,30086,122,5229,42,1492,1574,333,2918,,2312,2485,2502,4514,433,497,133021,324,391,45.31468531,54.68531469,0,33,65,85
TCD,Chad,24899,2014,4379,614,186,2865,6219,589,960,2996,5243,11,7048,12305,18889,15488,78,867,0,29851,123,5382,53,1524,1610,333,2783,6,2341,2521,2562,4612,435,471,133344,736,142,83.82687927,16.17312073,14,20,41,81
